street_marker,RequestTime,aim_marker
620,96,10620
621,96,10621
622,97,10622
623,97,10623
624,97,10624
625,97,10625
626,98,10626
627,98,10627
628,98,10628
629,98,10629
630,98,10630
631,98,10631
632,98,10632
633,98,10633
634,99,10634
635,99,10635
636,99,10636
637,99,10637
638,99,10638
639,99,10639
640,99,10640
641,100,10641
642,100,10642
643,100,10643
644,100,10644
645,100,10645
646,100,10646
647,101,10647
648,101,10648
649,101,10649
650,101,10650
651,102,10651
652,102,10652
653,102,10653
654,102,10654
655,102,10655
656,103,10656
657,103,10657
658,103,10658
659,103,10659
660,103,10660
661,104,10661
662,104,10662
663,104,10663
664,105,10664
665,105,10665
666,105,10666
667,105,10667
668,105,10668
669,105,10669
670,105,10670
671,105,10671
672,106,10672
673,106,10673
674,106,10674
675,106,10675
676,106,10676
677,106,10677
678,106,10678
679,107,10679
680,107,10680
681,107,10681
682,107,10682
683,107,10683
684,107,10684
685,107,10685
686,107,10686
687,108,10687
688,108,10688
689,108,10689
690,108,10690
691,108,10691
692,108,10692
693,109,10693
694,109,10694
695,109,10695
696,109,10696
697,109,10697
698,109,10698
699,110,10699
700,110,10700
701,110,10701
702,110,10702
703,110,10703
704,110,10704
705,110,10705
706,111,10706
707,111,10707
708,111,10708
709,112,10709
710,112,10710
711,113,10711
712,113,10712
713,113,10713
714,113,10714
715,113,10715
716,113,10716
717,114,10717
718,114,10718
719,114,10719
720,115,10720
721,115,10721
722,115,10722
723,115,10723
724,115,10724
725,115,10725
726,115,10726
727,116,10727
728,116,10728
729,116,10729
730,116,10730
731,116,10731
732,116,10732
733,116,10733
734,116,10734
735,116,10735
736,117,10736
737,117,10737
738,117,10738
739,118,10739
740,118,10740
741,118,10741
742,119,10742
743,119,10743
744,119,10744
745,119,10745
746,119,10746
747,119,10747
748,119,10748
749,119,10749
750,119,10750
751,119,10751
752,119,10752
753,120,10753
754,120,10754
755,120,10755
756,120,10756
757,120,10757
758,120,10758
759,120,10759
760,120,10760
761,120,10761
762,120,10762
763,121,10763
764,121,10764
765,121,10765
766,121,10766
767,121,10767
768,122,10768
769,122,10769
770,122,10770
771,122,10771
772,122,10772
773,122,10773
774,122,10774
775,123,10775
776,123,10776
777,123,10777
778,123,10778
779,123,10779
780,123,10780
781,124,10781
782,124,10782
783,124,10783
784,124,10784
785,125,10785
786,125,10786
787,125,10787
788,125,10788
789,125,10789
790,125,10790
791,125,10791
792,125,10792
793,125,10793
794,125,10794
795,125,10795
796,125,10796
797,126,10797
798,127,10798
799,127,10799
800,127,10800
801,127,10801
802,127,10802
803,127,10803
804,128,10804
805,128,10805
806,128,10806
807,128,10807
808,128,10808
809,128,10809
810,128,10810
811,129,10811
812,129,10812
813,129,10813
814,129,10814
815,129,10815
816,130,10816
817,130,10817
818,131,10818
819,131,10819
820,131,10820
821,131,10821
822,131,10822
823,132,10823
824,132,10824
825,132,10825
826,132,10826
827,132,10827
828,132,10828
829,132,10829
830,133,10830
831,133,10831
832,133,10832
833,133,10833
834,133,10834
835,133,10835
836,133,10836
837,133,10837
838,133,10838
839,133,10839
840,134,10840
841,134,10841
842,134,10842
843,134,10843
844,134,10844
845,134,10845
846,134,10846
847,134,10847
848,134,10848
849,134,10849
850,134,10850
851,134,10851
852,135,10852
853,135,10853
854,135,10854
855,135,10855
856,135,10856
857,136,10857
858,136,10858
859,136,10859
860,136,10860
861,136,10861
862,136,10862
863,136,10863
864,136,10864
865,137,10865
866,137,10866
867,137,10867
868,137,10868
869,137,10869
870,137,10870
871,137,10871
872,137,10872
873,138,10873
874,138,10874
875,139,10875
876,139,10876
877,139,10877
878,139,10878
879,139,10879
880,139,10880
881,139,10881
882,139,10882
883,140,10883
884,140,10884
885,140,10885
886,140,10886
887,141,10887
888,141,10888
889,141,10889
890,141,10890
891,141,10891
892,141,10892
893,142,10893
894,142,10894
895,142,10895
896,142,10896
897,142,10897
898,142,10898
899,143,10899
900,143,10900
901,143,10901
902,143,10902
903,143,10903
904,143,10904
905,143,10905
906,144,10906
907,144,10907
908,144,10908
909,144,10909
910,145,10910
911,145,10911
912,145,10912
913,145,10913
914,145,10914
915,145,10915
916,145,10916
917,145,10917
918,145,10918
919,145,10919
920,146,10920
921,146,10921
922,146,10922
923,146,10923
924,146,10924
925,146,10925
926,146,10926
927,146,10927
928,146,10928
929,147,10929
930,147,10930
931,147,10931
932,147,10932
933,147,10933
934,147,10934
935,147,10935
936,148,10936
937,148,10937
938,148,10938
939,148,10939
940,148,10940
941,148,10941
942,148,10942
943,149,10943
944,149,10944
945,149,10945
946,149,10946
947,150,10947
948,150,10948
949,150,10949
950,150,10950
951,150,10951
952,150,10952
953,150,10953
954,150,10954
955,150,10955
956,150,10956
957,150,10957
958,151,10958
959,151,10959
960,151,10960
961,151,10961
962,151,10962
963,151,10963
964,151,10964
965,151,10965
966,152,10966
967,152,10967
968,152,10968
969,152,10969
970,152,10970
971,152,10971
972,152,10972
973,153,10973
974,153,10974
975,154,10975
976,154,10976
977,154,10977
978,154,10978
979,155,10979
980,155,10980
981,155,10981
982,155,10982
983,156,10983
984,156,10984
985,156,10985
986,156,10986
987,156,10987
988,157,10988
989,157,10989
990,157,10990
991,157,10991
992,158,10992
993,158,10993
994,158,10994
995,158,10995
996,158,10996
997,158,10997
998,159,10998
999,159,10999
