street_marker,RequestTime,aim_marker
487,78.0,10487
488,78.0,10488
489,78.0,10489
490,78.0,10490
491,78.0,10491
492,78.0,10492
493,78.0,10493
494,78.0,10494
495,79.0,10495
496,79.0,10496
497,79.0,10497
498,80.0,10498
499,80.0,10499
500,80.0,10500
501,81.0,10501
502,81.0,10502
503,81.0,10503
504,81.0,10504
505,81.0,10505
506,81.0,10506
507,81.0,10507
508,81.0,10508
509,82.0,10509
510,82.0,10510
511,82.0,10511
512,82.0,10512
513,82.0,10513
514,82.0,10514
515,82.0,10515
516,83.0,10516
517,83.0,10517
518,83.0,10518
519,83.0,10519
520,84.0,10520
521,84.0,10521
522,84.0,10522
523,84.0,10523
524,84.0,10524
525,84.0,10525
526,84.0,10526
527,84.0,10527
528,85.0,10528
529,85.0,10529
530,85.0,10530
531,85.0,10531
532,85.0,10532
533,85.0,10533
534,85.0,10534
535,85.0,10535
536,85.0,10536
537,85.0,10537
538,86.0,10538
539,86.0,10539
540,86.0,10540
541,86.0,10541
542,86.0,10542
543,86.0,10543
544,86.0,10544
545,86.0,10545
546,87.0,10546
547,87.0,10547
548,87.0,10548
549,87.0,10549
550,87.0,10550
551,87.0,10551
552,87.0,10552
553,88.0,10553
554,88.0,10554
555,88.0,10555
556,88.0,10556
557,88.0,10557
558,89.0,10558
559,89.0,10559
560,89.0,10560
561,89.0,10561
562,89.0,10562
563,89.0,10563
564,89.0,10564
565,89.0,10565
566,89.0,10566
567,89.0,10567
568,89.0,10568
569,90.0,10569
570,90.0,10570
571,90.0,10571
572,90.0,10572
573,90.0,10573
574,90.0,10574
575,90.0,10575
576,90.0,10576
577,90.0,10577
578,90.0,10578
579,90.0,10579
580,90.0,10580
581,90.0,10581
582,91.0,10582
583,91.0,10583
584,91.0,10584
585,91.0,10585
586,91.0,10586
587,91.0,10587
588,91.0,10588
589,91.0,10589
590,92.0,10590
591,92.0,10591
592,92.0,10592
593,92.0,10593
594,93.0,10594
595,93.0,10595
596,93.0,10596
597,94.0,10597
598,94.0,10598
599,94.0,10599
600,94.0,10600
601,94.0,10601
602,95.0,10602
603,95.0,10603
604,95.0,10604
605,95.0,10605
606,95.0,10606
607,95.0,10607
608,95.0,10608
609,95.0,10609
610,95.0,10610
611,95.0,10611
612,95.0,10612
613,95.0,10613
614,95.0,10614
615,96.0,10615
616,96.0,10616
617,96.0,10617
618,96.0,10618
619,96.0,10619
620,96.0,10620
621,96.0,10621
622,97.0,10622
623,97.0,10623
624,97.0,10624
625,97.0,10625
626,98.0,10626
627,98.0,10627
628,98.0,10628
629,98.0,10629
630,98.0,10630
631,98.0,10631
632,98.0,10632
633,98.0,10633
634,99.0,10634
635,99.0,10635
636,99.0,10636
637,99.0,10637
638,99.0,10638
639,99.0,10639
640,99.0,10640
641,100.0,10641
642,100.0,10642
643,100.0,10643
644,100.0,10644
645,100.0,10645
646,100.0,10646
647,101.0,10647
648,101.0,10648
649,101.0,10649
650,101.0,10650
651,102.0,10651
652,102.0,10652
653,102.0,10653
654,102.0,10654
655,102.0,10655
656,103.0,10656
657,103.0,10657
658,103.0,10658
659,103.0,10659
660,103.0,10660
661,104.0,10661
662,104.0,10662
663,104.0,10663
664,105.0,10664
665,105.0,10665
666,105.0,10666
667,105.0,10667
668,105.0,10668
669,105.0,10669
670,105.0,10670
671,105.0,10671
672,106.0,10672
673,106.0,10673
674,106.0,10674
675,106.0,10675
676,106.0,10676
677,106.0,10677
678,106.0,10678
679,107.0,10679
680,107.0,10680
681,107.0,10681
682,107.0,10682
683,107.0,10683
684,107.0,10684
685,107.0,10685
686,107.0,10686
687,108.0,10687
688,108.0,10688
689,108.0,10689
690,108.0,10690
691,108.0,10691
692,108.0,10692
693,109.0,10693
694,109.0,10694
695,109.0,10695
696,109.0,10696
697,109.0,10697
698,109.0,10698
699,110.0,10699
700,110.0,10700
701,110.0,10701
702,110.0,10702
703,110.0,10703
704,110.0,10704
705,110.0,10705
706,111.0,10706
707,111.0,10707
708,111.0,10708
709,112.0,10709
710,112.0,10710
711,113.0,10711
712,113.0,10712
713,113.0,10713
714,113.0,10714
715,113.0,10715
716,113.0,10716
717,114.0,10717
718,114.0,10718
719,114.0,10719
720,115.0,10720
721,115.0,10721
722,115.0,10722
723,115.0,10723
724,115.0,10724
725,115.0,10725
726,115.0,10726
727,116.0,10727
728,116.0,10728
729,116.0,10729
730,116.0,10730
731,116.0,10731
732,116.0,10732
733,116.0,10733
734,116.0,10734
735,116.0,10735
736,117.0,10736
737,117.0,10737
738,117.0,10738
739,118.0,10739
740,118.0,10740
741,118.0,10741
742,119.0,10742
743,119.0,10743
744,119.0,10744
745,119.0,10745
746,119.0,10746
747,119.0,10747
748,119.0,10748
749,119.0,10749
750,119.0,10750
751,119.0,10751
752,119.0,10752
753,120.0,10753
754,120.0,10754
755,120.0,10755
756,120.0,10756
757,120.0,10757
758,120.0,10758
759,120.0,10759
760,120.0,10760
761,120.0,10761
762,120.0,10762
763,121.0,10763
764,121.0,10764
765,121.0,10765
766,121.0,10766
767,121.0,10767
768,122.0,10768
769,122.0,10769
770,122.0,10770
771,122.0,10771
772,122.0,10772
773,122.0,10773
774,122.0,10774
775,123.0,10775
776,123.0,10776
777,123.0,10777
778,123.0,10778
779,123.0,10779
780,123.0,10780
781,124.0,10781
782,124.0,10782
783,124.0,10783
784,124.0,10784
785,125.0,10785
786,125.0,10786
787,125.0,10787
788,125.0,10788
789,125.0,10789
790,125.0,10790
791,125.0,10791
792,125.0,10792
793,125.0,10793
794,125.0,10794
795,125.0,10795
796,125.0,10796
797,126.0,10797
798,127.0,10798
799,127.0,10799
800,127.0,10800
801,127.0,10801
802,127.0,10802
803,127.0,10803
804,128.0,10804
805,128.0,10805
806,128.0,10806
807,128.0,10807
