street_marker,RequestTime,tripDistance,aim_marker,lon,lat
A133,23.0,11500.0,A10133,-73.86296081542967,40.76886367797852
A134,23.0,1270.0,A10134,-73.94334411621092,40.796382904052734
A135,23.0,6410.0,A10135,-74.01290893554686,40.702449798583984
A136,23.0,1740.0,A10136,-73.98137664794923,40.78121948242188
A137,23.0,700.0,A10137,-73.98357391357422,40.74970245361328
A138,23.0,1750.0,A10138,-73.99359130859375,40.76716613769531
A139,24.0,2700.0,A10139,-73.96530151367188,40.75943374633789
A140,24.0,500.0,A10140,-73.94579315185547,40.77347946166992
A141,24.0,10570.0,A10141,-73.87104797363281,40.77384948730469
A142,24.0,500.0,A10142,-73.9690704345703,40.7632942199707
A143,24.0,1700.0,A10143,-73.9539794921875,40.77273941040039
A144,24.0,15600.0,A10144,-73.99044036865233,40.73126220703125
A145,25.0,2600.0,A10145,-73.9763412475586,40.781028747558594
A146,25.0,2400.0,A10146,-74.00743865966798,40.70733642578125
A147,25.0,1900.0,A10147,-73.98068237304686,40.74438095092773
A148,25.0,3600.0,A10148,-74.0,40.72177505493164
A149,26.0,1920.0,A10149,-73.89192962646483,40.74699020385742
A150,26.0,900.0,A10150,-73.98815155029298,40.73728942871094
A151,26.0,1600.0,A10151,-73.99758148193358,40.73280715942384
A152,26.0,2900.0,A10152,-73.9957275390625,40.7645263671875
A153,27.0,5100.0,A10153,-73.96524047851561,40.800884246826165
A154,27.0,1200.0,A10154,-73.97447204589844,40.757339477539055
A155,27.0,1990.0,A10155,-73.97789001464844,40.75447082519531
A156,27.0,1000.0,A10156,-73.97272491455078,40.757320404052734
A157,27.0,2750.0,A10157,-73.97541046142578,40.757339477539055
A158,27.0,17500.0,A10158,-73.80209350585938,40.663856506347656
A159,28.0,410.0,A10159,-73.95594024658203,40.779651641845696
A160,28.0,2600.0,A10160,-73.9763412475586,40.76472854614258
A161,28.0,2050.0,A10161,-73.98393249511719,40.74308013916016
A162,28.0,4400.0,A10162,-74.01400756835938,40.71199035644531
A163,28.0,2100.0,A10163,-73.97898864746092,40.76688003540039
A164,28.0,970.0,A10164,-74.0041732788086,40.72243881225586
A165,29.000000000000004,700.0,A10165,-73.96980285644531,40.75076675415039
A166,29.000000000000004,750.0,A10166,-73.92931365966798,40.760601043701165
A167,29.000000000000004,1330.0,A10167,-73.99030303955078,40.77170181274414
A168,29.000000000000004,330.0,A10168,-73.99758148193358,40.7379264831543
A169,30.000000000000004,960.0,A10169,-73.98622131347656,40.7519760131836
A170,30.000000000000004,10290.0,A10170,-73.86275482177734,40.768531799316406
A171,31.000000000000004,700.0,A10171,-73.99484252929686,40.731689453125
A172,31.000000000000004,6250.0,A10172,-73.9764633178711,40.728870391845696
A173,31.000000000000004,930.0,A10173,-74.00908660888672,40.715518951416016
A174,31.000000000000004,1370.0,A10174,-73.99221038818358,40.737571716308594
A175,31.000000000000004,3040.0,A10175,-73.99044799804686,40.76170349121094
A176,31.000000000000004,3500.0,A10176,-73.9618148803711,40.76287078857422
A177,32.0,1500.0,A10177,-73.96244049072266,40.80484008789063
A178,32.0,2050.0,A10178,-73.96756744384764,40.7557487487793
A179,32.0,1080.0,A10179,-73.98088836669923,40.75934982299805
A180,32.0,2970.0,A10180,-73.99539947509764,40.688106536865234
A181,32.0,550.0,A10181,-73.97393798828125,40.764259338378906
A182,32.0,1170.0,A10182,-74.00971221923827,40.71579360961913
A183,32.0,2800.0,A10183,-74.00474548339844,40.74893951416016
A184,32.0,1000.0,A10184,-73.96234893798828,40.77032852172852
A185,33.0,1480.0,A10185,-73.98040771484375,40.73445892333984
A186,33.0,700.0,A10186,-73.96987915039062,40.76522064208984
A187,33.0,1810.0,A10187,-73.9703826904297,40.76147079467773
A188,33.0,2630.0,A10188,-73.99873352050781,40.7453498840332
A189,33.0,2680.0,A10189,-73.99569702148438,40.72454833984375
A190,34.0,800.0,A10190,-73.94107055664062,40.799072265625
A191,34.0,5200.0,A10191,-73.9661865234375,40.770652770996094
A192,34.0,4820.0,A10192,-74.00519561767578,40.71997833251953
A193,35.0,2900.0,A10193,-73.95689392089844,40.7662239074707
A194,35.0,1700.0,A10194,-74.00241088867188,40.7501335144043
A195,35.0,140.0,A10195,-73.98507690429686,40.73582458496094
A196,35.0,1100.0,A10196,-74.00035858154298,40.71836853027344
A197,35.0,1160.0,A10197,-73.93687438964844,40.84002304077149
A198,35.0,320.0,A10198,-73.97470855712889,40.74187088012695
A199,35.0,5610.0,A10199,-73.99224853515625,40.74288177490234
A200,35.0,2360.0,A10200,-73.97876739501953,40.759090423583984
A201,35.0,1210.0,A10201,-73.97689056396483,40.75893020629882
A202,36.0,3200.0,A10202,-73.9939727783203,40.75024032592773
A203,36.0,2600.0,A10203,-73.99402618408203,40.75114822387695
A204,36.0,1100.0,A10204,-73.98995971679686,40.74188232421875
A205,36.0,500.0,A10205,-73.98719024658203,40.73946762084961
A206,37.0,1700.0,A10206,-73.9820556640625,40.77171325683594
A207,37.0,2900.0,A10207,-73.9866943359375,40.71974563598633
A208,37.0,1050.0,A10208,-73.956787109375,40.77790832519531
A209,37.0,1700.0,A10209,-73.97551727294923,40.7575569152832
A210,37.0,600.0,A10210,-73.98233032226561,40.731475830078125
A211,37.0,1700.0,A10211,-73.95119476318358,40.78025817871094
A212,37.0,1800.0,A10212,-73.97907257080078,40.744190216064446
A213,38.0,1350.0,A10213,-73.98817443847656,40.737701416015625
A214,38.0,3470.0,A10214,-73.99503326416014,40.7253532409668
A215,38.0,2400.0,A10215,-73.98899841308595,40.751480102539055
A216,38.0,1900.0,A10216,-73.9803009033203,40.72703170776367
A217,38.0,900.0,A10217,-73.9747314453125,40.793132781982415
A218,38.0,750.0,A10218,-73.9836196899414,40.75461959838867
A219,38.0,2390.0,A10219,-73.99416351318358,40.75110626220703
A220,38.0,950.0,A10220,-73.98143005371094,40.780887603759766
A221,39.0,1300.0,A10221,-73.9901351928711,40.76158905029297
A222,39.0,3110.0,A10222,-73.99360656738281,40.72127914428711
A223,39.0,900.0,A10223,-73.98856353759764,40.73887634277344
A224,39.0,1500.0,A10224,-73.98462677001953,40.73307037353516
A225,39.0,900.0,A10225,-73.99160766601561,40.74953079223633
A226,39.0,1210.0,A10226,-74.01432037353516,40.71234893798828
A227,39.0,6800.0,A10227,-73.77677154541014,40.64517974853516
A228,40.0,2600.0,A10228,-74.00308227539062,40.72288131713867
A229,40.0,1200.0,A10229,-73.97992706298828,40.75152969360352
A230,40.0,1700.0,A10230,-74.00930786132812,40.70957946777344
A231,40.0,3070.0,A10231,-73.99774932861328,40.72569274902344
A232,40.0,3900.0,A10232,-73.9714584350586,40.758670806884766
A233,40.0,550.0,A10233,-73.95589447021484,40.77885055541992
A234,40.0,1400.0,A10234,-73.9864501953125,40.7458381652832
A235,41.0,700.0,A10235,-73.97427368164062,40.759422302246094
A236,41.0,1100.0,A10236,-73.99629974365233,40.75316619873047
A237,41.0,1000.0,A10237,-73.9600830078125,40.76618194580078
A238,41.0,1930.0,A10238,-73.98091125488281,40.7446403503418
A239,42.0,1100.0,A10239,-73.99398803710938,40.72664260864258
A240,42.0,1270.0,A10240,-74.00263977050781,40.73064041137695
A241,42.0,600.0,A10241,-73.97171020507811,40.75565719604492
A242,42.0,2600.0,A10242,-73.96486663818358,40.75978469848633
A243,42.0,540.0,A10243,-73.98976135253906,40.729591369628906
A244,43.0,3200.0,A10244,-74.00785064697266,40.74040985107422
A245,43.0,430.0,A10245,-73.96350860595702,40.75704574584961
A246,43.0,940.0,A10246,-73.97407531738281,40.79405212402344
A247,43.0,3460.0,A10247,-74.0107421875,40.7090301513672
A248,43.0,2300.0,A10248,-73.9676055908203,40.78809356689453
A249,43.0,6800.0,A10249,-73.99073791503906,40.71818542480469
A250,44.0,1500.0,A10250,-73.9602813720703,40.78148651123047
A251,44.0,2580.0,A10251,-73.96234893798828,40.77907943725586
A252,44.0,500.0,A10252,-73.98216247558594,40.77581405639648
A253,44.0,1200.0,A10253,-74.00077819824217,40.74224853515625
A254,44.0,1460.0,A10254,-74.01197052001953,40.704639434814446
A255,44.0,760.0,A10255,-73.96682739257811,40.76678085327149
A256,44.0,3190.0,A10256,-73.97852325439453,40.7829704284668
A257,44.0,2220.0,A10257,-73.99761199951173,40.74652862548828
A258,44.0,3820.0,A10258,-74.00027465820312,40.73772048950195
A259,44.0,500.0,A10259,-73.96785736083984,40.762649536132805
A260,45.0,780.0,A10260,-74.00289154052734,40.73912811279297
A261,45.0,2280.0,A10261,-73.98834991455078,40.73445510864258
A262,45.0,6300.0,A10262,-74.00640106201173,40.705181121826165
A263,45.0,3900.0,A10263,-73.95657348632812,40.77830123901367
A264,45.0,2140.0,A10264,-73.97805786132812,40.75320053100586
A265,45.0,300.0,A10265,-73.98177337646483,40.77029800415039
A266,45.0,700.0,A10266,-73.98487091064453,40.74201965332031
A267,45.0,600.0,A10267,-73.99652099609375,40.73803329467773
A268,45.0,3000.0,A10268,-73.97600555419923,40.78121948242188
A269,46.0,3260.0,A10269,-73.95832061767578,40.76887893676758
A270,46.0,9510.0,A10270,-73.97657775878906,40.78071975708008
A271,46.0,2330.0,A10271,-73.95587158203125,40.71410751342773
A272,46.0,1090.0,A10272,-73.992431640625,40.72662734985352
A273,46.0,1890.0,A10273,-73.98108673095702,40.7500457763672
A274,46.0,1580.0,A10274,-73.96041870117188,40.76978302001953
A275,46.0,1880.0,A10275,-73.97708892822266,40.74308013916016
A276,46.0,940.0,A10276,-73.97158813476561,40.761112213134766
A277,47.0,1200.0,A10277,-73.95430755615233,40.7781982421875
A278,47.0,500.0,A10278,-73.98219299316406,40.776145935058594
A279,47.0,1150.0,A10279,-73.96379089355469,40.7979736328125
A280,47.0,920.0,A10280,-73.97090911865233,40.7880859375
A281,47.0,3180.0,A10281,-73.98609924316406,40.76246643066406
A282,48.0,1580.0,A10282,-73.95252990722656,40.779949188232415
A283,48.0,3600.0,A10283,-73.9701156616211,40.7617301940918
A284,48.0,1000.0,A10284,-73.99544525146483,40.716007232666016
A285,49.0,700.0,A10285,-74.00017547607422,40.7346305847168
A286,49.0,5200.0,A10286,-74.01372528076173,40.7138557434082
A287,49.0,900.0,A10287,-73.99018096923827,40.7349967956543
A288,49.0,1200.0,A10288,-73.97427368164062,40.75722503662109
A289,49.0,18400.0,A10289,-73.78617095947266,40.641971588134766
A290,49.0,1600.0,A10290,-73.99360656738281,40.74994659423828
A291,49.0,2740.0,A10291,-73.99824523925781,40.72773361206056
A292,49.0,2190.0,A10292,-73.96846008300781,40.760738372802734
A293,49.0,1950.0,A10293,-73.98258209228516,40.72341537475586
A294,50.0,700.0,A10294,-74.0041275024414,40.73809051513672
A295,50.0,1800.0,A10295,-73.97903442382812,40.74020767211913
A296,50.0,1590.0,A10296,-73.99331665039062,40.74163818359375
A297,51.0,1000.0,A10297,-73.95556640625,40.78507614135742
A298,51.0,3200.0,A10298,-73.94736480712889,40.77629470825195
A299,51.0,2480.0,A10299,-74.00058746337889,40.72713088989258
A300,51.0,610.0,A10300,-73.99945068359375,40.73369598388672
A301,51.0,600.0,A10301,-73.99514007568358,40.74388122558594
A302,51.0,640.0,A10302,-73.97392272949219,40.79170608520508
A303,51.0,2300.0,A10303,-73.95136260986328,40.77774810791016
A304,51.0,5600.0,A10304,-73.91676330566406,40.86938095092773
A305,51.0,2420.0,A10305,-73.98175811767578,40.728511810302734
A306,51.0,1300.0,A10306,-73.98809051513672,40.749561309814446
A307,52.0,1380.0,A10307,-73.9910888671875,40.74980163574219
A308,52.0,3300.0,A10308,-73.9787826538086,40.78759002685546
A309,52.0,17390.0,A10309,-73.99459075927734,40.750301361083984
A310,52.0,17530.0,A10310,-73.98460388183594,40.75846862792969
A311,52.0,2780.0,A10311,-73.98220825195312,40.76704788208008
A312,52.0,1100.0,A10312,-73.9937744140625,40.744922637939446
A313,52.0,10220.0,A10313,-73.86357116699219,40.76966094970703
A314,52.0,1900.0,A10314,-73.97765350341797,40.729270935058594
A315,52.0,1200.0,A10315,-73.99667358398438,40.73725509643555
A316,52.0,6700.0,A10316,-73.98138427734375,40.77857971191406
A317,53.0,800.0,A10317,-73.98267364501953,40.7310028076172
A318,53.0,2780.0,A10318,-73.96465301513672,40.772815704345696
A319,53.0,3930.0,A10319,-74.0149154663086,40.70948028564453
A320,53.0,880.0,A10320,-73.9787368774414,40.74755859375
A321,53.0,2100.0,A10321,-73.95599365234375,40.78474426269531
A322,53.0,3300.0,A10322,-73.98130798339844,40.77391052246094
A323,53.0,1200.0,A10323,-74.00845336914062,40.74532318115234
A324,53.0,800.0,A10324,-74.0004653930664,40.732154846191406
A325,53.0,2600.0,A10325,-73.87459564208984,40.77413940429688
A326,53.0,600.0,A10326,-73.9908676147461,40.74949645996094
A327,53.0,1800.0,A10327,-73.98760223388672,40.76457977294922
A328,53.0,4690.0,A10328,-74.01412963867188,40.712158203125
A329,54.0,1370.0,A10329,-74.01378631591797,40.71377182006836
A330,54.0,2200.0,A10330,-73.96543121337889,40.805419921875
A331,54.0,1050.0,A10331,-73.94181060791014,40.81296157836913
A332,54.0,1100.0,A10332,-73.98052978515625,40.68537902832031
A333,54.0,1100.0,A10333,-73.95792388916014,40.76923751831056
A334,54.0,1000.0,A10334,-73.98091125488281,40.729690551757805
A335,54.0,2260.0,A10335,-73.97547149658203,40.730098724365234
A336,55.0,900.0,A10336,-74.00143432617188,40.72470474243164
A337,55.0,1000.0,A10337,-74.00284576416014,40.72820663452149
A338,55.0,1720.0,A10338,-73.98719787597656,40.75634002685546
A339,55.0,1300.0,A10339,-73.98524475097656,40.72772216796875
A340,55.0,2360.0,A10340,-73.98783111572266,40.76010894775391
A341,56.0,22490.0,A10341,-73.98480987548828,40.76784133911133
A342,56.0,900.0,A10342,-73.97868347167967,40.75197219848633
A343,56.0,1020.0,A10343,-74.00146484375,40.756702423095696
A344,56.0,17320.0,A10344,-73.98880004882812,40.75931167602539
A345,56.0,2090.0,A10345,-73.96094512939453,40.76520538330078
A346,56.0,1000.0,A10346,-73.98843383789062,40.759891510009766
A347,56.0,17820.0,A10347,-73.974609375,40.75243377685546
A348,56.0,1210.0,A10348,-74.00825500488281,40.73473358154297
A349,56.0,3490.0,A10349,-73.9810791015625,40.7632293701172
A350,57.0,7310.0,A10350,-73.9955062866211,40.76479721069336
A351,57.0,1300.0,A10351,-73.99624633789062,40.7319793701172
A352,57.0,2700.0,A10352,-74.00658416748048,40.73151397705078
A353,57.0,3200.0,A10353,-73.99349975585938,40.757118225097656
A354,57.0,1430.0,A10354,-73.96103668212889,40.777591705322266
A355,57.0,1550.0,A10355,-74.00215148925781,40.73492050170898
A356,57.0,1660.0,A10356,-73.9990234375,40.73424911499024
A357,57.0,1510.0,A10357,-73.95511627197266,40.78865051269531
A358,58.00000000000001,1100.0,A10358,-73.97512817382812,40.76180267333984
A359,58.00000000000001,2400.0,A10359,-73.958740234375,40.768165588378906
A360,58.00000000000001,1200.0,A10360,-73.99407958984375,40.746143341064446
A361,58.00000000000001,1280.0,A10361,-73.96842193603516,40.761428833007805
A362,58.00000000000001,3510.0,A10362,-73.99359130859375,40.75395965576172
A363,59.00000000000001,20.0,A10363,-73.98103332519531,40.74161911010742
A364,59.00000000000001,1300.0,A10364,-73.98273468017578,40.73148727416992
A365,59.00000000000001,830.0,A10365,-73.9532470703125,40.779293060302734
A366,59.00000000000001,2630.0,A10366,-73.96233367919923,40.77908706665039
A367,59.00000000000001,2000.0,A10367,-73.97630310058595,40.78835678100586
A368,59.00000000000001,4300.0,A10368,-73.98812866210938,40.73165130615234
A369,60.00000000000001,1920.0,A10369,-74.00691986083984,40.742488861083984
A370,60.00000000000001,2650.0,A10370,-73.96558380126953,40.75882339477539
A371,60.00000000000001,17600.0,A10371,-73.78116607666014,40.64495086669922
A372,60.00000000000001,11350.0,A10372,-73.87445068359375,40.77398300170898
A373,60.00000000000001,640.0,A10373,-73.94800567626953,40.774688720703125
A374,61.00000000000001,8100.0,A10374,-73.99025726318358,40.71442031860352
A375,61.00000000000001,3600.0,A10375,-73.95528411865233,40.77952575683594
A376,61.00000000000001,1500.0,A10376,-73.96556854248048,40.75872039794922
A377,61.00000000000001,900.0,A10377,-73.99004364013672,40.74070739746094
A378,61.00000000000001,700.0,A10378,-73.97859191894531,40.736576080322266
A379,61.00000000000001,700.0,A10379,-73.98139953613281,40.78084564208984
A380,61.00000000000001,4300.0,A10380,-73.96217346191406,40.779102325439446
A381,61.00000000000001,900.0,A10381,-73.99586486816406,40.74368667602539
A382,61.00000000000001,480.0,A10382,-73.98478698730467,40.74789810180664
A383,61.00000000000001,1800.0,A10383,-73.9638671875,40.761356353759766
A384,61.00000000000001,3960.0,A10384,-73.99149322509764,40.74471664428711
A385,61.00000000000001,920.0,A10385,-73.97065734863281,40.78807830810546
A386,62.00000000000001,890.0,A10386,-73.98033905029298,40.76255035400391
A387,62.00000000000001,7660.0,A10387,-73.99165344238281,40.74741363525391
A388,62.00000000000001,1200.0,A10388,-73.9891586303711,40.75262451171875
A389,62.00000000000001,9600.0,A10389,-73.87442016601561,40.77403259277344
A390,63.00000000000001,2840.0,A10390,-73.97303771972656,40.743919372558594
A391,63.00000000000001,3100.0,A10391,-73.96322631835938,40.77798461914063
A392,63.00000000000001,17400.0,A10392,-73.9920883178711,40.74591445922852
A393,63.00000000000001,1400.0,A10393,-73.98138427734375,40.7370491027832
A394,63.00000000000001,1600.0,A10394,-73.96710968017578,40.75699234008789
A395,63.00000000000001,3100.0,A10395,-73.97236633300781,40.75661849975586
A396,63.00000000000001,5260.0,A10396,-73.92208862304686,40.76723098754882
A397,63.00000000000001,3900.0,A10397,-73.98121643066406,40.77091979980469
A398,64.0,2800.0,A10398,-73.98739624023438,40.74430847167969
